162038,595f813c935f6500211006dc,2,212,business
137272,595f813d935f650021100759,1,211,business
24388,595f813d935f650021100760,1,211,business
24388,595f813d935f650021100760,4,214,business
161190,595f813d935f65002110076b,2,212,business
142144,595f813d935f65002110076c,2,212,business
142144,595f813d935f65002110076c,4,214,business
128267,595f813d935f65002110077b,2,212,business
111642,595f813e935f650021100781,2,212,business
106855,595f813e935f6500211007ad,4,214,business
198882,595f813e935f6500211007b2,4,214,business
127011,595f813e935f6500211007b8,1,211,business
127011,595f813e935f6500211007b8,2,212,business
127011,595f813e935f6500211007b8,4,214,business
144241,595f813e935f6500211007be,2,212,business
24908,595f813f935f6500211007cf,4,214,business
220840,595f813f935f6500211007d4,2,212,business
220840,595f813f935f6500211007d4,4,214,business
197584,595f813f935f65002110080e,1,211,business
