1,Coffee Shop,ร้านกาแฟ
2,Retailer,ร้านโชห่วย
3,Hotel,โรงแรม สปา
4,Restaurant,ร้านอาหาร
5,Other,ธุรกิจบริการอื่น
6,Bakery shop,ร้านเบเกอรี่
